Drug_Name,Reason,Description
Platelet transfusions,Hepatitis C,Used to treat Hepatitis C
Liver transplant,Hepatitis C,Used to treat Hepatitis C
Antiviral drugs,Hepatitis D,Used to treat Hepatitis D
IV fluids,Hepatitis D,Used to treat Hepatitis D
Blood transfusions,Hepatitis D,Used to treat Hepatitis D
Platelet transfusions,Hepatitis D,Used to treat Hepatitis D
Liver transplant,Hepatitis D,Used to treat Hepatitis D
Alcohol cessation,Hepatitis E,Used to treat Hepatitis E
Corticosteroids,Hepatitis E,Used to treat Hepatitis E
IV fluids,Hepatitis E,Used to treat Hepatitis E
Liver transplant,Hepatitis E,Used to treat Hepatitis E
Nutritional support,Hepatitis E,Used to treat Hepatitis E
Antibiotics,Alcoholic hepatitis,Used to treat Alcoholic hepatitis
Isoniazid,Alcoholic hepatitis,Used to treat Alcoholic hepatitis
Rifampin,Alcoholic hepatitis,Used to treat Alcoholic hepatitis
Ethambutol,Alcoholic hepatitis,Used to treat Alcoholic hepatitis
Pyrazinamide,Alcoholic hepatitis,Used to treat Alcoholic hepatitis
Antipyretics,Tuberculosis,Used to treat Tuberculosis
Decongestants,Tuberculosis,Used to treat Tuberculosis
Cough suppressants,Tuberculosis,Used to treat Tuberculosis
Antihistamines,Tuberculosis,Used to treat Tuberculosis
Pain relievers,Tuberculosis,Used to treat Tuberculosis
Antibiotics,Common Cold,Used to treat Common Cold
Antiviral drugs,Common Cold,Used to treat Common Cold
Antifungal drugs,Common Cold,Used to treat Common Cold
IV fluids,Common Cold,Used to treat Common Cold
Oxygen therapy,Common Cold,Used to treat Common Cold
Laxatives,Pneumonia,Used to treat Pneumonia
Pain relievers,Pneumonia,Used to treat Pneumonia
Warm baths,Pneumonia,Used to treat Pneumonia
Cold compresses,Pneumonia,Used to treat Pneumonia
High-fiber diet,Pneumonia,Used to treat Pneumonia
Nitroglycerin,Dimorphic hemmorhoids(piles),Used to treat Dimorphic hemmorhoids(piles)
Aspirin,Dimorphic hemmorhoids(piles),Used to treat Dimorphic hemmorhoids(piles)
Beta-blockers,Dimorphic hemmorhoids(piles),Used to treat Dimorphic hemmorhoids(piles)
Calcium channel blockers,Dimorphic hemmorhoids(piles),Used to treat Dimorphic hemmorhoids(piles)
Thrombolytic drugs,Dimorphic hemmorhoids(piles),Used to treat Dimorphic hemmorhoids(piles)
Compression stockings,Heart attack,Used to treat Heart attack
Exercise,Heart attack,Used to treat Heart attack
Elevating the legs,Heart attack,Used to treat Heart attack
Sclerotherapy,Heart attack,Used to treat Heart attack
Laser treatments,Heart attack,Used to treat Heart attack
Levothyroxine,Varicose veins,Used to treat Varicose veins
Antithyroid medications,Varicose veins,Used to treat Varicose veins
Beta-blockers,Varicose veins,Used to treat Varicose veins
Radioactive iodine,Varicose veins,Used to treat Varicose veins
Thyroid surgery,Varicose veins,Used to treat Varicose veins
Antithyroid medications,Hypothyroidism,Used to treat Hypothyroidism
Radioactive iodine,Hypothyroidism,Used to treat Hypothyroidism
Thyroid surgery,Hypothyroidism,Used to treat Hypothyroidism
Beta-blockers,Hypothyroidism,Used to treat Hypothyroidism
Corticosteroids,Hypothyroidism,Used to treat Hypothyroidism
Glucose tablets,Hyperthyroidism,Used to treat Hyperthyroidism
Candy or juice,Hyperthyroidism,Used to treat Hyperthyroidism
Glucagon injection,Hyperthyroidism,Used to treat Hyperthyroidism
IV dextrose,Hyperthyroidism,Used to treat Hyperthyroidism
Diazoxide,Hyperthyroidism,Used to treat Hyperthyroidism
Pain relievers,Hypoglycemia,Used to treat Hypoglycemia
Exercise,Hypoglycemia,Used to treat Hypoglycemia
Hot and cold packs,Hypoglycemia,Used to treat Hypoglycemia
Joint protection,Hypoglycemia,Used to treat Hypoglycemia
Physical therapy,Hypoglycemia,Used to treat Hypoglycemia
NSAIDs,Osteoarthristis,Used to treat Osteoarthristis
Disease-modifying antirheumatic drugs (DMARDs),Osteoarthristis,Used to treat Osteoarthristis
Biologics,Osteoarthristis,Used to treat Osteoarthristis
Corticosteroids,Osteoarthristis,Used to treat Osteoarthristis
Joint replacement surgery,Osteoarthristis,Used to treat Osteoarthristis
Vestibular rehabilitation,Arthritis,Used to treat Arthritis
Canalith repositioning,Arthritis,Used to treat Arthritis
Medications for nausea,Arthritis,Used to treat Arthritis
Surgery,Arthritis,Used to treat Arthritis
Home exercises,Arthritis,Used to treat Arthritis
Topical treatments,(vertigo) Paroymsal Positional Vertigo,Used to treat (vertigo) Paroymsal Positional Vertigo
Antibiotics,(vertigo) Paroymsal Positional Vertigo,Used to treat (vertigo) Paroymsal Positional Vertigo
Oral medications,(vertigo) Paroymsal Positional Vertigo,Used to treat (vertigo) Paroymsal Positional Vertigo
Hormonal treatments,(vertigo) Paroymsal Positional Vertigo,Used to treat (vertigo) Paroymsal Positional Vertigo
Isotretinoin,(vertigo) Paroymsal Positional Vertigo,Used to treat (vertigo) Paroymsal Positional Vertigo
Antibiotics,Acne,Used to treat Acne
Pain relievers,Acne,Used to treat Acne
Antihistamines,Acne,Used to treat Acne
Corticosteroids,Acne,Used to treat Acne
Topical treatments,Acne,Used to treat Acne
Antibiotics,Urinary tract infection,Used to treat Urinary tract infection
Urinary analgesics,Urinary tract infection,Used to treat Urinary tract infection
Phenazopyridine,Urinary tract infection,Used to treat Urinary tract infection
Antispasmodics,Urinary tract infection,Used to treat Urinary tract infection
Probiotics,Urinary tract infection,Used to treat Urinary tract infection
Topical treatments,Psoriasis,Used to treat Psoriasis
Phototherapy,Psoriasis,Used to treat Psoriasis
Systemic medications,Psoriasis,Used to treat Psoriasis
Biologics,Psoriasis,Used to treat Psoriasis
Coal tar,Psoriasis,Used to treat Psoriasis
Topical antibiotics,Impetigo,Used to treat Impetigo
Oral antibiotics,Impetigo,Used to treat Impetigo
Antiseptics,Impetigo,Used to treat Impetigo
Ointments,Impetigo,Used to treat Impetigo
Warm compresses,Impetigo,Used to treat Impetigo
